YEAR,MONTH,DOMESTIC,INTERNATIONAL,TOTAL
2018,Jan,55831159,17897787,73728946
2018,Feb,54078219,15720901,69799120
2018,Mar,66644135,19716774,86360909
2018,Apr,64557780,19111955,83669735
2018,May,67846119,20126585,87972704
2018,Jun,70279158,22046732,92325890
2018,Jul,72540389,23754573,96294962
2018,Aug,70338563,22909627,93248190
2018,Sep,60468575,18051374,78519949
2018,Oct,67082086,18830854,85912940
2018,Nov,64660022,17552376,82212398
2018,Dec,63646582,19520179,83166761
2019,Jan,58034262,18690817,76725079
2019,Feb,55679481,16264366,71943847
2019,Mar,70234129,20295947,90530076
2019,Apr,66938654,20019304,86957958
2019,May,71364145,20995113,92359258
2019,Jun,72790418,22747453,95537871
2019,Jul,75281916,23907859,99189775
2019,Aug,72729199,23239180,95968379
2019,Sep,63991365,18842310,82833675
2019,Oct,69936836,18982654,88919490
2019,Nov,64827417,17575113,82402530
2019,Dec,69737438,19859635,89597073
2020,Jan,61638893,18955398,80594291
2020,Feb,59879630,15829198,75708828
2020,Mar,34420555,8956945,43377500
2020,Apr,2879712,401329,3281041
2020,May,9697683,372915,10070598
2020,Jun,16207918,806399,17014317
2020,Jul,22922158,1862122,24784280
2020,Aug,24431822,2298093,26729915
2020,Sep,23854772,2280598,26135370
2020,Oct,28027209,2969651,30996860
2020,Nov,26294514,3553139,29847653
2020,Dec,27264199,4763815,32028014
2021,Jan,24305908,4504353,28810261
2021,Feb,24483505,2994388,27477893
2021,Mar,39343495,4616871,43960366
2021,Apr,43798946,5499899,49298845
2021,May,52752164,7010140,59762304
2021,Jun,60110694,8974037,69084731
2021,Jul,66741175,10811152,77552327
2021,Aug,60632081,10515856,71147937
2021,Sep,53903524,8247453,62150977
2021,Oct,60548833,8953133,69501966
2021,Nov,59779609,10185722,69965331
2021,Dec,59535449,12311177,71846626
2022,Jan,45814651,10137402,55952053
2022,Feb,49076378,9292288,58368666
2022,Mar,64617091,13271550,77888641
2022,Apr,63520022,14713220,78233242
2022,May,66964228,15925356,82889584
2022,Jun,67372554,18210792,85583346
2022,Jul,69432582,20087611,89520193
2022,Aug,66520499,18998872,85519371
2022,Sep,63140128,16281626,79421754
2022,Oct,67936133,16421993,84358126
2022,Nov,63680517,15723408,79403925
2022,Dec,62484215,17743976,80228191
2023,Jan,58284615,17002300,75286915
2023,Feb,56730177,14936070,71666247
2023,Mar,69709372,18787943,88497315
2023,Apr,67572521,18830531,86403052
2023,May,71425053,19838152,91263205
2023,Jun,72484380,21937891,94422271
2023,Jul,75379372,23520215,98899587
2023,Aug,71490010,22227324,93717334
2023,Sep,66861648,19127456,85989104
2023,Oct,73044556,19239321,92283877
2023,Nov,68415895,18031698,86447593
2023,Dec,67923093,20396377,88319470
